Самые частотные слова:
'ema', 94
'iha', 80
'nia', 77
'e', 69
'ida', 55
'bele', 52
'ne', 41
'atu', 38
'tomak', 35
'tuir', 34
'la', 32
'moris', 32
'direitu', 32
'sei', 32
'hetan', 31
'artigu', 30
'seluk', 28
'ho', 26
'nasaun', 26
'be', 26
'ba', 26
'hodi', 24
'halo', 22
'hotu', 21
'hanesan', 20
'laran', 19
'tulun', 19
'naran', 19
'tan', 17
'fo', 16
'rai', 14
'hakarak', 14
'ukun', 14
'mos', 13
'serbisu', 13
'ak', 12
'uaihira', 12
'di', 12
'lia', 11
'hosi', 11
'liberdade', 11
'rain', 10
'uma', 10
'dalan', 10
'susar', 9
'hahalok', 9
'fatin', 8
'matenek', 8
'deklarasaun', 8
'hamutuk', 8
'fiar', 7
'buka', 7
'eskola', 7
'tada', 7
'los', 7
'hasoru', 7
'idak', 6
'justisa', 6
'sai', 6
'malu', 6
'kain', 6
'sira', 6
'foin', 5
'damen', 5
'tama', 5
'hirak', 5
'aat', 5
'buat', 5
'u', 5
'rasik', 5
'liu', 5
'simu', 5
'o', 5
'klibur', 5
'na', 4
'boot', 4
'let', 4
'ona', 4
'nune', 4
'mundu', 4
'katak', 4
'ruma', 4
'hatene', 4
'monu', 4
'in', 4
'raiklaran', 3
'karik', 3
'hanorin', 3
'feto', 3
'de', 3
'hanoin', 3
'otak', 3
'nian', 3
'it', 3
'neon', 3
'tahan', 3
'hakmatek', 3
'uain', 3
'hateten', 3
'tinan', 3
'metin', 3
'n', 3
'foti', 3
'oan', 3
'kona', 3
'duni', 3
'povu', 3
'tau', 3
'lakohi', 3
'nu', 2
'asembleia', 2
'mesak', 2
'maka', 2
'lori', 2
'halakon', 2
'heuuai', 2
'kabe', 2
'ata', 2
'tur', 2
'kaben', 2
'loke', 2
'knua', 2
'husik', 2
'ka', 2
'sala', 2
'alin', 2
'habelar', 2
'haruka', 2
'surat', 2
'kuran', 2
'sasán', 2
'án', 2
'selu', 2
'maun', 2
'loron', 2
'habadak', 2
'sindikatu', 2
'an', 2
'haklaken', 2
'dauk', 2
'kolen', 2
'hili', 2
'harí', 2
'hasai', 2
'rua', 2
'lolós', 2
'dadur', 2
'kastigu', 2
'hatudu', 2
'mane', 2
'buras', 2
'rin', 2
'afoin', 1
'ksumik', 1
'desembru', 1
'reinu', 1
'ospitál', 1
'badaen', 1
'ik', 1
'knar', 1
'otas', 1
'teknik', 1
'fila', 1
'tusan', 1
'moras', 1
'noin', 1
'hatais', 1
'rezolusaun', 1
'hametin', 1
'liman', 1
'mai', 1
'ki', 1
'folin', 1
'dame', 1
'hahú', 1
'terus', 1
'kbahen', 1
'habiit', 1
'politik', 1
'lisan', 1
'aman', 1
'isin', 1
'faluk', 1
'perdua', 1
'laek', 1
'hola', 1
'bandu', 1
'oi', 1
'maski', 1
